strategy,annual_return,annual_volatility,sharpe,sortino,max_drawdown,hhi,avg_turnover
disclosed,0.17535638829626898,0.23517591418541475,0.7456392330977247,0.9279182032295462,-0.43419652574048684,0.13630694850441458,0.0
mean_variance,0.10656405469055152,0.21385013902663744,0.49831183264873996,0.6132992680527212,-0.34855682302653346,0.21421021051652253,0.36025864541755026
black_litterman,0.14461470198099713,0.21311272069528087,0.678583153127562,0.8458941116402335,-0.3232923056788738,0.20768333551557439,0.29405418657290233
