,disclosed,mean_variance,black_litterman
2018-08-01,1.008745782979212,1.0109524120135363,1.0133524885957905
2018-08-02,1.013791198739047,1.0187535023193468,1.022981115153779
2018-08-03,1.023023763349226,1.0206582282705303,1.0235662236211605
2018-08-06,1.0226444616609462,1.0244062671226437,1.0277062705600701
2018-08-07,1.0240682282821447,1.023397797127147,1.028063389361541
2018-08-08,1.0241423950894024,1.0224124700801553,1.0288173395533626
2018-08-09,1.0221210335831332,1.0173166340946698,1.0238582407234285
2018-08-10,1.0155131300023588,1.0158556286912495,1.0223814336051755
2018-08-13,1.0115547417178896,1.0148797176467326,1.0223044944765172
2018-08-14,1.0160383630343917,1.023208371026363,1.031829945703776
2018-08-15,1.0067633891795262,1.0110689765051213,1.017458540590132
2018-08-16,1.0177518123573586,1.0208410795935896,1.0279892278214846
2018-08-17,1.0239995467944882,1.0275491953488851,1.0338263572688158
2018-08-20,1.0255375336370134,1.0282103928491892,1.0342591092929854
2018-08-21,1.0264112712564941,1.024574539382121,1.0314391191424614
2018-08-22,1.0283101634190814,1.0273463681498343,1.036278574196017
2018-08-23,1.0251205196726059,1.0262558474257433,1.0361057244014373
2018-08-24,1.0298783012943484,1.0313282306561018,1.0429097801251102
2018-08-27,1.0398983467359493,1.039835401059115,1.0525693504421483
2018-08-28,1.0399696833093068,1.0406722941117224,1.0546870443046568
2018-08-29,1.0422120033925004,1.0514269532545573,1.0677554085455536
2018-08-30,1.0379786749277193,1.0505555323178861,1.0678726240900183
2018-08-31,1.0376195852153434,1.0522155665692492,1.071330504905065
2018-09-04,1.0407967646887437,1.0558991971736764,1.0755065839803344
2018-09-05,1.0369999660872102,1.0475982201770977,1.0648892282538727
2018-09-06,1.0301946256274062,1.038955823883736,1.057569564928948
2018-09-07,1.0288998259037114,1.0355486415891089,1.0533730901518168
2018-09-10,1.0305100218700645,1.0352976128793787,1.0530972411282729
2018-09-11,1.0388413730703856,1.047026789134041,1.065922020399335
2018-09-12,1.0351464321425465,1.0412033148479263,1.0613927677703603
2018-09-13,1.043206852083275,1.0510112275299854,1.0717937551049115
2018-09-14,1.0471300821239804,1.0525647647498655,1.0718665444328022
2018-09-17,1.0396556971384667,1.041720123242142,1.059629095848049
2018-09-18,1.0411592985017621,1.0494758616242186,1.067708150272481
2018-09-19,1.0474484683960055,1.050859499056703,1.0674792923068896
2018-09-20,1.055461161418522,1.058414037501861,1.0764792122635634
2018-09-21,1.051630683523415,1.055224378205653,1.072995296068578
2018-09-24,1.049996718541245,1.0589645554365394,1.0772673550155878
2018-09-25,1.0490679632454425,1.0639178209164384,1.0828750107858809
2018-09-26,1.0393311663189058,1.059399005717738,1.0794781017889978
2018-09-27,1.0432939488273674,1.0680317377138184,1.0890487440914272
2018-09-28,1.037734227226871,1.070591205888728,1.0915571049603792
2018-10-01,1.0469879719520823,1.0779652883600666,1.0990224463457106
2018-10-02,1.0491310798390188,1.0765238625068518,1.0975747317455566
2018-10-03,1.0512655073278376,1.0730898998556808,1.0950863071824115
2018-10-04,1.0466946485856952,1.062658879087564,1.0826110718440662
2018-10-05,1.0406106125791863,1.053632197988036,1.0730389195764458
2018-10-08,1.0421434798015714,1.0509134179300954,1.0687565077063053
2018-10-09,1.043780666928199,1.0554026083925596,1.0737480225572371
2018-10-10,1.010571946991765,1.0103740446665346,1.0272568418984904
2018-10-11,0.9886445592164789,0.9930037089962164,1.0100645303136742
2018-10-12,1.0010132978237387,1.0143582202885193,1.0341952179273262
2018-10-15,0.9902614699927537,0.9901609922899872,1.0120453550729296
2018-10-16,1.0066690243989516,1.0102922755470578,1.0339282261265692
2018-10-17,1.0101216335174543,1.0116431674695512,1.0348663092049675
2018-10-18,0.995793712871675,0.9937854253064542,1.0165850918390393
2018-10-19,1.0124749580375947,1.0041268521501356,1.026802076400776
2018-10-22,1.0013669495162971,1.0043806977354255,1.0272562517548882
2018-10-23,0.9974463066117175,0.9983186015132132,1.0221203763249342
2018-10-24,0.9736881794858253,0.9690782729770983,0.9921704456848768
2018-10-25,0.986405188076016,0.9911807520223886,1.016354871409646
2018-10-26,0.9683571090502815,0.9680863912759184,0.9919644144785966
2018-10-29,0.9631774137799533,0.9500936442478242,0.9733170274683816
2018-10-30,0.9731667376468431,0.9575537287534877,0.9790473135700235
2018-10-31,0.9863453285687875,0.9728442928051659,0.9979924935312545
2018-11-01,0.9969071289399652,0.9807664008898943,1.0060164912800358
2018-11-02,0.9848062303571784,0.961802588638189,0.9835058533574687
2018-11-05,0.9927156280668052,0.9615299612534572,0.9817720807054805
2018-11-06,0.9998465045033027,0.9689978742294522,0.9895354622669591
2018-11-07,1.0192430525934528,0.9886561505290345,1.011678123592922
2018-11-08,1.0200437670123579,0.9870036645440451,1.008966716838291
2018-11-09,1.0150154752786429,0.9827148047309812,1.0034428586647044
2018-11-12,0.9921210368293892,0.9632232121197263,0.9817038264061346
2018-11-13,0.9894895687945008,0.9604106233473959,0.9776499201338792
2018-11-14,0.9809232995511967,0.9510823607405844,0.9669833557479004
2018-11-15,0.9974914839802661,0.9623393254178287,0.9789138829386191
2018-11-16,1.0014401089716725,0.9666419969286804,0.9836201047622207
2018-11-19,0.9913267885434441,0.9510783937075064,0.9661303447667428
2018-11-20,0.9673084006986706,0.9240671626875074,0.9372377952230331
2018-11-21,0.9707117977830518,0.9203574197904435,0.9335278235893516
2018-11-23,0.9585483981637556,0.9134998337380293,0.9250988533008794
2018-11-26,0.9771760397916304,0.9233959748226598,0.9363040782127406
2018-11-27,0.9795733534400213,0.92797499616023,0.9411199697050537
2018-11-28,1.0041547379202487,0.9501513016428084,0.9647668411526844
2018-11-29,0.9959562994830169,0.9416299997752382,0.9559273050910748
2018-11-30,1.0035531275273066,0.9549967180978495,0.968317923270593
2018-12-03,1.0114745862311716,0.9566739919559465,0.9654947963639468
2018-12-04,0.976368595847513,0.9334482439995309,0.9456811087861512
2018-12-06,0.9692143165229907,0.936391269970714,0.9475332565563677
2018-12-07,0.9505070563914935,0.9224955006490073,0.9359079124152493
2018-12-10,0.94455370893293,0.9233491941501542,0.9361604381884229
