rebalance_date,AAPL,AMZN,AXP,BAC,CB,CVX,DVA,GOOGL,KHC,KO,MA,MCO,OXY,V
2018-01-31,0.0,0.43798143917685906,0.14821760775189707,0.010886100581784892,0.15441707215292266,0.0,0.0,0.04627962719352588,0.0,0.10031216552792077,0.031642749901253736,0.05767760837454914,0.0,0.012585629339286815
2018-02-28,0.29741080891749144,0.3665313131899957,0.04683399566868073,0.05917058916723317,0.0,0.07698362752016218,0.05847365050184501,0.0033641721478315976,0.0,0.0,0.015484759964342495,0.0,0.0,0.07574708292241757
2018-03-29,0.015876582190955113,0.0,0.06291489435280546,0.0,0.08739635319748729,0.142452352722194,0.18137828896301414,0.0,0.04746767107049299,0.3597179172542584,0.0,0.0,0.10279594024879263,0.0
2018-04-30,0.0,0.09706818873386718,0.0,0.0,0.0,0.4426656072397682,0.0,0.0,0.0,0.0,0.0,0.0,0.3248479213943237,0.1354182826320409
2018-05-31,0.0,0.30468425764857043,0.0,0.0,0.005800291318332512,0.0,0.07153696707997849,0.0,0.34103053637378455,0.1979915789780236,0.0633588719934118,0.0,0.0,0.015597496607898559
2018-06-29,0.1971953132114977,0.08440198893899152,0.11268959733642796,0.0,0.19795520459112442,0.13486855565224662,0.0,0.0,0.0,0.17499647059878953,0.0,0.0,0.09789286967092227,0.0
2018-07-31,0.0,0.0,0.05110533473560412,0.21079748966373074,0.4600793545476407,0.0929953977787537,0.012336817965051634,0.04213339794442704,0.0,0.11338043009547903,0.0,0.0,0.017171777269312925,0.0
2018-08-31,0.2913448275062671,0.0806328013658332,0.0,0.0,0.041091872494414865,0.002757488000922363,0.0,0.0,0.0,0.0,0.2457034946697669,0.1846333295042381,0.008999728773953438,0.14483645768460418
2018-09-28,0.04887249846479196,0.08779659576321899,0.0,0.0,0.0,0.09920001250594375,0.07806285006325428,0.06059466918290271,0.0,0.08787144047609075,0.2302128898605421,0.0,0.09520178768997575,0.21218725599327967
2018-10-31,0.07599230454471706,0.0,0.09933471457848224,0.04715603299568506,0.0,0.0,0.06538747055966647,0.08645313734744246,0.033122606162339224,0.5864733876362005,0.0,0.0,0.0,0.006080346175467105
2018-11-30,0.0,0.0567407794913849,0.04121534924232412,0.0,0.0,0.0,0.4586553992761846,0.09677630737246432,0.17779666697544294,0.0,0.0,0.16636905362449317,0.0,0.002446444017706051
2018-12-31,0.0,0.0,0.0,0.15763731195878788,0.1878078053578485,0.14147680786985087,0.0,0.23827206248991434,0.0,0.0,0.134053996869379,0.02102534539711669,0.0,0.11972667005710297
2019-01-31,0.11303880506406755,0.0,0.3862166990577116,0.0009525189873911273,0.1991641635435553,0.0,0.0,0.0,0.0,0.004270161078171216,0.0363303224351453,0.0,0.2600273298339578,0.0
2019-02-28,0.18624423261686673,0.010426620499407447,0.0,0.24435825705159472,0.050078322074229895,0.012470269766685242,0.0,0.0,0.0,0.14364219502411155,0.0,0.2884499033842834,0.0,0.0643301995828211
2019-03-29,0.001551654951849664,0.0,0.0,0.0,0.4025393511635653,0.0,0.0,0.0,0.1236987710058263,0.22987474761681131,0.07932921540161474,0.02739302258988949,0.06707318626602593,0.06854005100441714
2019-04-30,0.0,0.050616917817635596,0.015956785047083265,0.11856875751026787,0.18858955921143056,0.0,0.025252335229713648,0.18799566039964402,0.0,0.0007018332447638722,0.30311480923218237,0.04214041088768054,0.0,0.06706293141959811
2019-05-31,0.0,0.0,0.0,0.0,0.3226281279212761,0.0,0.0,0.0,0.0,0.2583513753655636,0.12272413608765893,0.12520457661620643,0.0,0.17109178400929503
2019-06-28,0.04691904612951201,0.027428005199778217,0.0,0.017207542198318427,0.0,0.0,0.8933185920458444,0.0,0.0,0.0,0.009733665124856374,0.0,0.0,0.005393149301690506
2019-07-31,0.0497402398804492,0.0,0.06264487588171752,0.240088790238956,0.22012691423028247,0.04343264678415359,0.27715340506731984,0.04356734520033243,0.012327327013119888,0.05091845570366921,0.0,0.0,0.0,0.0
2019-08-30,0.0,0.0,0.0,0.1157507428766167,0.38553046237841077,0.01378679261507522,0.0,0.016272676357282002,0.03582079862543387,0.34765319679351764,0.050081248211994736,0.0,0.0,0.0351040821416691
2019-09-30,0.1190192577716769,0.0,0.44265644496483686,0.0,0.1377952241627395,0.0,0.0,0.18476346546215552,0.11576560763859124,0.0,0.0,0.0,0.0,0.0
2019-10-31,0.03922160434534044,0.0,0.0,0.20681756067712137,0.12126217272072193,0.0,0.09421383782836006,0.039139090524100646,0.021259375970377598,0.00746914762166866,0.19102121631920735,0.13022815784754108,0.0,0.14936783614556098
2019-11-29,0.0,0.2140794559531248,0.0,0.1363208912730826,0.0,0.18106159642816788,0.02247595013928754,0.0,0.0,0.1856857578263667,0.10035495690024687,0.09678544171947577,0.04886385679866951,0.014372092961578393
2019-12-31,0.15306300153810234,0.0168275316731336,0.0,0.0,0.08505645972775114,0.08758816130729029,0.040780566541325024,0.0,0.009062921088549038,0.16021535834905767,0.034277443725647165,0.012859508415469675,0.34376898609240025,0.056500061541273496
2020-01-31,0.08875437847721665,0.0,0.047736148824294646,0.0,0.0938758606244906,0.0,0.11379861987637249,0.0,0.0,0.21201301526148786,0.03991104321908699,0.3313974379410908,0.0,0.07251349577595981
2020-02-28,0.012809985240490379,0.0,0.0,0.0,0.44732127927496523,0.0,0.0,0.0,0.0,0.5398687354845444,0.0,0.0,0.0,0.0
2020-03-31,0.0,0.029753647619239595,0.00018552844456495453,0.0,0.014263843808490375,0.01877026540756468,0.6833856654591716,0.0,0.0,0.17903130925773922,0.06516316793345765,0.0,0.0,0.009446572069771973
2020-04-30,0.05114491755989827,0.0,0.032136699964721065,0.12667494057842976,0.0,0.1409060325870798,0.024367106477358187,0.0,0.26554212516598313,0.0,0.015190115099791809,0.14647871922834307,0.197559343338395,0.0
2020-05-29,0.05626634933035809,0.0,0.03491546649334536,0.022272767836414544,0.21533780299798655,0.0,0.0,0.10750939360082296,0.04937277899613093,0.11550731090252667,0.06718357849304428,0.2567093737315079,0.0,0.07492517761786276
2020-06-30,0.5102138848514118,0.04692851829974312,0.0,0.0,0.12911809214639577,0.0,0.0,0.060400381917178975,0.0,0.0,0.07113654593272628,0.005601369695762195,0.0,0.17660120715678196
2020-07-31,0.0,0.0,0.0,0.3116520829287807,0.0,0.0,0.647998378408094,0.0,0.04034953866312526,0.0,0.0,0.0,0.0,0.0
2020-08-31,0.09618125163393611,0.04261370749496906,0.1112508307676095,0.05373829424761125,0.0615091200565007,0.0,0.0,0.07107638078390817,0.0,0.03568220620822472,0.22421144551390193,0.14676179456510488,0.0,0.15697496872823374
2020-09-30,0.08462407934583398,0.13358623715950824,0.01079774198309476,0.0,0.0,0.0,0.0,0.15463416533761612,0.13193512453826467,0.0,0.1431722598615152,0.29750380475563815,0.0,0.04374658701852902
2020-10-30,0.13959979367766634,0.3245798286576603,0.0,0.0067237490247588905,0.20101815067492598,0.07005790495570775,0.0,0.16498949058772444,0.02120620555482852,0.0,0.0,0.0,0.07182487686672787,0.0
2020-11-30,0.0,0.23978587054566092,0.036673826041423115,0.07112658971089342,0.0,0.0146081043164393,0.19857295284599183,0.09635881033071787,0.05945477035860285,0.0,0.0,0.22784505423316012,0.05557402161711069,0.0
2020-12-31,0.11525754620111454,0.028056088003921453,0.1058064623684843,0.03381145876928046,0.0,0.0,0.0,0.0,0.0,0.3469856977618422,0.13780731107313768,0.0942450879696084,0.0558181227063948,0.08221222514621607
2021-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08722395291202434,0.03464695407904545,0.5517518454020282,0.08213115597621574,0.2442460916306862,0.0,0.0
2021-02-26,0.0,0.0,0.21533528034620067,0.2655710713212407,0.0,0.21124346167002375,0.0,0.0,0.08410154175743169,0.0,0.11663538757511911,0.0,0.0,0.10711325732998421
