rebalance_date,AAPL,AMZN,AXP,CLNE,CMCSA,CRM,CRWD,DBX,DIS,GOOGL,IBKR,MORN,MSFT,NFLX,NVDA,PANW,PYPL,QCOM,RBLX,T,V,WBD
2018-07-31,0.0755401089985668,0.08378547441837002,0.0,0.06884274854080022,0.0,0.12400325745355308,0.0,0.0,0.04437029528873753,0.0,0.0,0.42369306284011976,0.028481309473597102,0.010751861731110741,0.0,0.12696468135609174,0.0,0.0,0.0,0.0,0.0,0.013567199899053185
2018-08-31,0.1329651896654748,0.07931049005081663,0.016220189987965313,0.06109175930417848,0.0,0.09882617689626473,0.0,0.0,0.029790396095124,0.0,0.0,0.42993025823350084,0.0007198603314604119,0.0016673038038085793,0.0,0.09273730931393959,0.0,0.0,0.0,0.0,0.04498744967567721,0.011753616641789415
2018-09-28,0.10862054306805635,0.08790349379745407,0.08418589103473696,0.03500538834231866,0.0,0.11215600877187902,0.0,0.0,0.07684609049700176,0.0,0.0,0.15619071293777478,0.052162766482088736,0.0,0.0,0.04069605855955575,0.0,0.06417069191145078,0.0,0.0,0.08650598452771878,0.0955563700699644
2018-10-31,0.287903476486962,0.0,0.082288498151368,0.043853524910125,0.056440897915082944,0.06593681999102012,0.0,0.0,0.12183147321129675,0.0,0.0,0.05613352422132292,0.047795790470577755,0.0,0.0,0.0,0.018937865477929524,0.12656733701956865,0.0,0.0,0.01182036942576926,0.08049042271897705
2018-11-30,0.0,0.06517016095457848,0.19288036323233293,0.0,0.12872031872948086,0.07119965194370126,0.0,0.0,0.17559604890220074,0.010722655616627145,0.0,0.0,0.12022440923217943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0534053191346871,0.1820810722542122
2018-12-31,0.0,0.039501023008784705,0.03740537315135843,0.0,0.17870939676951286,0.1386685625716939,0.0,0.0,0.17176693889743025,0.0,0.0,0.0,0.1657209514638467,0.0,0.0,0.019609713827343465,0.08290287562451747,0.08693060916889377,0.0,0.0,0.07878455551661845,0.0
2019-01-31,0.0,0.02777181699238481,0.12109114824713016,0.0,0.11261622632664206,0.14507577844440384,0.0,0.0,0.032507302244358834,0.0,0.0,0.0,0.09898644168492095,0.03648626337466383,0.0,0.1397983148928511,0.16576416176580744,0.0,0.0,0.0,0.04904116127540321,0.07086138475143373
2019-02-28,0.0,0.0,0.09546184457217713,0.0,0.1440666741170133,0.1533227566423904,0.0,0.0,0.09840090372970775,0.0,0.0,0.0,0.09676914248103186,0.02880848303953053,0.0,0.15583166575275065,0.11654434013341135,0.0,0.0,0.021319480568323987,0.06183155711443091,0.02764315184923214
2019-03-29,0.0,0.0,0.03704755044477135,0.059997602229383835,0.3729301779036299,0.006523874935360491,0.0,0.0,0.0,0.012379380002719998,0.0,0.0,0.08477933542203359,0.006032980045048282,0.0,0.10841386915148105,0.2175669265456215,0.0,0.0,0.0,0.09432830331994994,0.0
2019-04-30,0.0,0.006216001296835708,0.0,0.03148397358374747,0.09315725332119584,0.0,0.0,0.0,0.10837502143715717,0.08048445677256875,0.0,0.14485672449351492,0.060471440795959036,0.014322486928723281,0.0,0.1612101313423802,0.13699194129881392,0.09210320868911973,0.0,0.0,0.07032736003998408,0.0
2019-05-31,0.0,0.0,0.0,0.012289307417176532,0.02895076913064849,0.0,0.0,0.0,0.09031039762311684,0.0,0.0,0.23129213994224504,0.05599452048459874,0.06384794611211347,0.0,0.050479739047861044,0.23343006873354274,0.03786219669082151,0.0,0.0860884222456225,0.10945449257225302,0.0
2019-06-28,0.019670816238107024,0.013011421415697702,0.17794240648145399,0.02029662200973548,0.0697563950073509,0.0,0.0,0.0,0.09285581277139013,0.0,0.0,0.14972988464340303,0.07513488672645623,0.06580500628100615,0.0,0.0,0.07274898384553607,0.016627039985856223,0.0,0.09130742913776069,0.1265507070244991,0.008562588431747302
2019-07-31,0.049230336148025994,0.0,0.08996891333953705,0.023731992876315153,0.09675647788432577,0.0,0.0,0.0,0.09471504914838326,0.0,0.0,0.13311460334831113,0.1422838245732131,0.0,0.0,0.0006184162134821307,0.0,0.034277620460936006,0.0,0.12495480036688464,0.21034796564058583,0.0
2019-08-30,0.07503109849820551,0.014027450465020653,0.0,0.0,0.05879267651757742,0.0,0.0,0.0,0.0946007905876525,0.0,0.0,0.21086032092840398,0.15768510200655317,0.0,0.0,0.0,0.012399750303216425,0.04108051500508262,0.0,0.17569607312676497,0.15982622256152296,0.0
2019-09-30,0.09486985575241048,0.0,0.005078757580184974,0.0,0.05447368716576189,0.0,0.0,0.0005587345033207617,0.05967894461988704,0.01759041549729228,0.00360963396512691,0.14006474836601907,0.18181125165118273,0.0,0.0,0.0,0.0,0.04896344979011433,0.0,0.3012158733594047,0.09208464774929483,0.0
2019-10-31,0.18251934521042626,0.0,0.0,0.0,0.02168965505168766,0.0,0.0,0.0,0.0,0.0,0.0,0.056397684517150125,0.16977900555995795,0.0,0.07756945734653634,0.0,0.0,0.0,0.0,0.37744971182746756,0.11459514048677412,0.0
