,disclosed,mean_variance,black_litterman
2018-02-01,-0.008184730937545725,-0.0031163258329512437,-0.0031163258329512437
2018-02-02,-0.025808053152234816,-0.022328399683681253,-0.022328399683681253
2018-02-05,-0.03797292852717266,-0.03248310779452549,-0.03248310779452549
2018-02-06,0.03412415851853286,0.022806401914636364,0.022806401914636364
2018-02-07,-0.011636094019985627,-0.004124240186283187,-0.004124240186283187
2018-02-08,-0.04123217880280165,-0.035406164470801596,-0.035406164470801596
2018-02-09,0.02404398249966956,0.017706842418210918,0.017706842418210918
2018-02-12,0.019399102472038774,0.012337060881208131,0.012337060881208131
2018-02-13,0.007767458003890281,0.004657374087673815,0.004657374087673815
2018-02-14,0.019674807426248647,0.016223430993464693,0.016223430993464693
2018-02-15,0.02331491470588625,0.013760502541712037,0.013760502541712037
2018-02-16,-0.003476381136207706,-0.0030027481661956787,-0.0030027481661956787
2018-02-20,0.006236842597710257,0.0011123456782223917,0.0011123456782223917
2018-02-21,-0.004035771056903383,-0.0046535600149111645,-0.0046535600149111645
2018-02-22,0.0007653770029543177,-0.001204967015679792,-0.001204967015679792
2018-02-23,0.017011758133264703,0.013463810341141339,0.013463810341141339
2018-02-26,0.015086227838540266,0.014784829068016214,0.014784829068016214
2018-02-27,-0.007954722079428342,-0.008585872045429878,-0.008585872045429878
2018-02-28,-0.005349559469559194,-0.009542709534361872,-0.009542709534361872
2018-03-01,-0.01357363059189206,-0.01080869067214054,-0.01080869067214054
2018-03-02,0.010101670389449717,0.00948540812975999,0.00948540812975999
2018-03-05,0.006865743822334451,0.010436383393789909,0.010436383393789909
2018-03-06,0.00720649284232762,0.004302999385279955,0.004302999385279955
2018-03-07,0.0003578242995481607,-0.0006099119675240138,-0.0006099119675240138
2018-03-08,0.006744907411745145,0.0019805124174598495,0.0019805124174598495
2018-03-09,0.01781781660192049,0.017217869061655885,0.017217869061655885
2018-03-12,0.005511712684341068,-1.4886273796058157e-05,-1.4886273796058157e-05
2018-03-13,-0.011353548279053962,-0.009222934770256446,-0.009222934770256446
2018-03-14,-0.0002456759864081037,-0.0007252222832158345,-0.0007252222832158345
2018-03-15,-0.00014569422072296893,-0.0008658446172081124,-0.0008658446172081124
2018-03-16,-0.003428238175118286,0.0016327928231145254,0.0016327928231145254
2018-03-19,-0.01823288852870587,-0.01603435068496991,-0.01603435068496991
2018-03-20,0.007667079486908916,0.006449445559969043,0.006449445559969043
2018-03-21,-0.011512986999991965,-0.0017000226277391868,-0.0017000226277391868
2018-03-22,-0.02377423607770755,-0.02437451106954711,-0.02437451106954711
2018-03-23,-0.026076680235334243,-0.019538715812231416,-0.019538715812231416
2018-03-26,0.043884066908583506,0.03446299186210481,0.03446299186210481
2018-03-27,-0.03915552709746309,-0.028682742998050046,-0.028682742998050046
2018-03-28,-0.012776550736556248,-0.0057836387759170015,-0.0057836387759170015
2018-03-29,0.020840959755796997,0.01746278852594468,0.01746278852594468
2018-04-02,-0.022732705474258298,-0.021726645266933388,-0.021726645266933388
2018-04-03,0.011933708689173584,0.01265963083000259,0.01265963083000259
2018-04-04,0.016564955832598205,0.012445239293569535,0.012445239293569535
2018-04-05,0.005013275036934868,0.010438401629186736,0.010438401629186736
2018-04-06,-0.0248983809174383,-0.020773131568812515,-0.020773131568812515
2018-04-09,0.005857308085565967,0.0013481273147411491,0.0013481273147411491
2018-04-10,0.022588150824131258,0.016860134683915343,0.016860134683915343
2018-04-11,-0.005803774993459625,0.0003117611164719849,0.0003117611164719849
2018-04-12,0.015718526494935117,0.012025470523443467,0.012025470523443467
2018-04-13,-0.005550071139528672,-0.010019481463643424,-0.010019481463643424
2018-04-16,0.005752154077766949,0.0059952723861997305,0.0059952723861997305
2018-04-17,0.02473168472284817,0.018373424479254764,0.018373424479254764
2018-04-18,0.0018231855015007619,0.0010204632087224958,0.0010204632087224958
2018-04-19,-0.0072783492676573155,-0.0029593358516451515,-0.0029593358516451515
2018-04-20,-0.018374778495740627,-0.010097790121015398,-0.010097790121015398
2018-04-23,-0.005171181438743522,-0.0015624915484508954,-0.0015624915484508954
2018-04-24,-0.023196780168864665,-0.014367201191352591,-0.014367201191352591
2018-04-25,-0.0026216184308438554,-0.0012186480779343598,-0.0012186480779343598
2018-04-26,0.020059753783620387,0.014828304489668452,0.014828304489668452
2018-04-27,0.00026710440694877665,-0.004436465778694019,-0.004436465778694019
2018-04-30,0.0007919869361884766,-3.14925634345179e-05,-3.14925634345179e-05
2018-05-01,0.015480105856843947,0.008052848327845865,0.008052848327845865
