,disclosed,mean_variance,black_litterman
2018-08-01,1.020221705740945,0.9994309873649183,1.0026614366857827
2018-08-02,1.0396300285891655,1.0103332168608383,1.0152853716251844
2018-08-03,1.0411173484046532,1.0082018706540146,1.0119205992297775
2018-08-06,1.0480372872636559,1.0183015283782422,1.0214050826443901
2018-08-07,1.0524047854498597,1.0285042676585487,1.029634329219945
2018-08-08,1.055993415751009,1.024175752411121,1.025335083020389
2018-08-09,1.0598046912364822,1.0330795777734465,1.0362854627740772
2018-08-10,1.053879507244648,1.0231887721420154,1.0266856650673581
2018-08-13,1.054205773458575,1.0222732379799377,1.0267111965430133
2018-08-14,1.0637094241775065,1.0314663824952994,1.0356009765616894
2018-08-15,1.0536885208975482,1.0220629860144737,1.024993644060848
2018-08-16,1.0581491575180726,1.0341150125479652,1.038580186891802
2018-08-17,1.0566097528758456,1.0417794569637036,1.0482868927844657
2018-08-20,1.0560346054491019,1.043161970408133,1.0504190615491507
2018-08-21,1.057904536339569,1.0451608828885743,1.052688834079499
2018-08-22,1.0672298177092014,1.0472586519893858,1.056303125121013
2018-08-23,1.0710171559949646,1.0504925283975095,1.0588239617670696
2018-08-24,1.0836212112096872,1.0605093981286526,1.068325885283044
2018-08-27,1.093206439217639,1.0633336054751112,1.0720058267878312
2018-08-28,1.0967500968197936,1.0704781603677163,1.0793559949159137
2018-08-29,1.1131437332900693,1.0755109591367575,1.0859922870754595
2018-08-30,1.1124355553675749,1.069410000110665,1.0821762073737882
2018-08-31,1.1166491170223871,1.0816589007349333,1.0952936594480263
2018-09-04,1.117920035530321,1.0813826558626478,1.0953575072824788
2018-09-05,1.0981524123012802,1.0683141416993744,1.0819189639038578
2018-09-06,1.0874046542274218,1.067080529910916,1.079395627995134
2018-09-07,1.0854416386830197,1.0625202633588742,1.072704573169841
2018-09-10,1.0848260941155283,1.0677449514529165,1.0763459873067671
2018-09-11,1.100148772511642,1.069531257147551,1.079437003728302
2018-09-12,1.0961752281272725,1.0682561800638628,1.0772306380594296
2018-09-13,1.1104280386350394,1.074196558124377,1.0835536809972524
2018-09-14,1.1070729656919294,1.074125703739747,1.0835600480412277
2018-09-17,1.0865615457059874,1.0440295603540282,1.0491693956889585
2018-09-18,1.0926826795706674,1.0465315664352735,1.051589880783634
2018-09-19,1.0884273355806373,1.040043840447849,1.0451744453151908
2018-09-20,1.0964499280796933,1.0481245216271584,1.0538161035133766
2018-09-21,1.0881406904788886,1.0459144625618737,1.0505480283050648
2018-09-24,1.0990461920839876,1.052212887154615,1.0575952663173016
2018-09-25,1.1063044809544262,1.0448969514796624,1.050052198418409
2018-09-26,1.1021664108028864,1.035637525295691,1.040747145365536
2018-09-27,1.1149390340489966,1.0368310573100084,1.0427764874425691
2018-09-28,1.1199912232793416,1.0350272627573778,1.0410760251943572
2018-10-01,1.1287768456495613,1.0388354677828515,1.0452646193136348
2018-10-02,1.1252925519483508,1.0321911384215963,1.0393801449872255
2018-10-03,1.1295350564974131,1.034065196598557,1.041928522115636
2018-10-04,1.106063573358389,1.018826942954733,1.0264725474299168
2018-10-05,1.0917782443515183,1.0088867054773927,1.0158979150833731
2018-10-08,1.078741671707613,0.9955271704814694,1.0041760030364697
2018-10-09,1.0841199362419052,0.994252068100907,1.0037345860436775
2018-10-10,1.0258003022641957,0.9486075439997008,0.9589763442381382
2018-10-11,1.015060269470351,0.9381135532433038,0.9483287843331932
2018-10-12,1.0531560712357513,0.965587253850104,0.9745097411307594
2018-10-15,1.030668375481745,0.9572162326647102,0.9671526220785733
2018-10-16,1.0602017521679314,0.9818826885776072,0.9928831941180978
2018-10-17,1.0588490380533182,0.98378781209246,0.9944030641675544
2018-10-18,1.0341767972834155,0.9652618995191141,0.9764077552823026
2018-10-19,1.0319692375855103,0.9681046630442591,0.9813457895206638
2018-10-22,1.0394793325589324,0.9717877841726361,0.9847819906944985
2018-10-23,1.0328704088706862,0.9662215521177676,0.9792454536554134
2018-10-24,0.9793748539173521,0.9222003835898928,0.9358799488245364
2018-10-25,1.019526007803228,0.9694848070350993,0.9858147826302953
2018-10-26,0.9897745850423103,0.9427235311111897,0.9623278721727955
2018-10-29,0.9558095699681464,0.9169638952094171,0.9365944065874512
2018-10-30,0.9696667615309584,0.9237902747851968,0.9441334871961363
2018-10-31,1.0007435872298944,0.9464149938243116,0.9663595100741773
2018-11-01,1.0172816992050069,0.9577154990240069,0.9776594156073543
2018-11-02,0.9915900141189135,0.9339592180781973,0.9541628464484964
2018-11-05,0.9789302613234803,0.9305977344392812,0.9510104804338247
2018-11-06,0.9831897877483221,0.933404359804301,0.9556128573149621
2018-11-07,1.0188907829499156,0.9555777877281818,0.9738943511062723
2018-11-08,1.0113590696656185,0.9517696702779549,0.9679004946020676
2018-11-09,0.9933322919977928,0.9366955094576828,0.9524341228884537
2018-11-12,0.9516718328636953,0.9067488659600395,0.9230533011163913
2018-11-13,0.9555707662628048,0.9048115523240137,0.917775743294702
2018-11-14,0.9410226300323032,0.8945654282206792,0.9096798166542346
2018-11-15,0.9589775663460054,0.9103234037124434,0.9242362325410421
2018-11-16,0.9395077671530768,0.9134138032988882,0.9267608550731098
2018-11-19,0.8905355076289434,0.8829677720149072,0.8981173821714082
2018-11-20,0.8760368695012088,0.8588105544264562,0.8721891291844425
2018-11-21,0.8797006241154581,0.8666883218598302,0.8809732920653606
2018-11-23,0.8692500331023457,0.8561637218931758,0.8704208530340352
2018-11-26,0.8946169601272036,0.8726849335421024,0.8835031082428003
2018-11-27,0.8960512168770288,0.8749479315133583,0.8857042689808943
2018-11-28,0.9386112548980579,0.9096962104289695,0.917297062877492
2018-11-29,0.9332240334311926,0.9079570060000232,0.9184852995964835
2018-11-30,0.9410689056099611,0.9065320666411358,0.9133308134813761
2018-12-03,0.9643672108838816,0.9069493160058074,0.90650682259769
2018-12-04,0.921043576240294,0.8753568547754141,0.8778480475615675
2018-12-06,0.9269811890046643,0.8893331038648563,0.8919814513614873
2018-12-07,0.8909695978267776,0.8672247127609076,0.8737760422788928
2018-12-10,0.9012367734361776,0.8688647749873917,0.8730627251007583
2018-12-11,0.8989316098060296,0.8664835679223464,0.869197019968523
2018-12-12,0.9074165039325988,0.8768534322267687,0.8788564277071691
2018-12-13,0.9109846895297773,0.8751827703289146,0.8768237749097281
2018-12-14,0.886668680562457,0.8582360909910318,0.863910203960376
2018-12-17,0.8650512853084688,0.8327938469062457,0.8418558535255002
2018-12-18,0.8768614886098811,0.8330261945562721,0.8383414120942532
2018-12-19,0.8571110725414282,0.8213580614032844,0.8296029608531891
2018-12-20,0.8386808737474803,0.8005395065475476,0.8084939072270837
2018-12-21,0.8064809997813598,0.7698037075940022,0.7802462963510983
2018-12-24,0.7882414406834752,0.749719507410767,0.7600605827167422
2018-12-26,0.8415603961298773,0.7960943964877617,0.8022508902346763
2018-12-27,0.8430647733284283,0.7974248205012758,0.8039464328300023
2018-12-28,0.8445271102761727,0.7975355341301356,0.8025804549710461
2018-12-31,0.852892326998642,0.8066288300811595,0.8106694535050782
2019-01-02,0.8566197686802305,0.8101163085483096,0.8122875721594928
2019-01-03,0.8126692629586076,0.7889441186981629,0.7918361832174782
2019-01-04,0.8520700878273508,0.8226602178741937,0.8237285721770686
2019-01-07,0.8648012074767003,0.8329961235970775,0.8301286043841803
2019-01-08,0.8737234993394797,0.8437167801549009,0.8383770567849109
2019-01-09,0.8820478606406741,0.8503626177327264,0.8462693671216813
2019-01-10,0.8848910507134242,0.8508090100028061,0.8466478176882286
2019-01-11,0.8829074539019789,0.8490055768115341,0.8453252541925028
2019-01-14,0.8752401295377031,0.8440492577859539,0.8419213888183341
2019-01-15,0.8934348652197934,0.8556758086898884,0.8483747532922176
2019-01-16,0.8966741456110632,0.8542140401490924,0.8468688123444698
2019-01-17,0.903579377764763,0.8571292240888475,0.8486062030648017
2019-01-18,0.9127963939471982,0.8648702189565306,0.8563352721016383
2019-01-22,0.8892359720340409,0.845585382117663,0.8410978431605016
2019-01-23,0.8934792681585938,0.8536622915619192,0.8488988697213342
2019-01-24,0.8964030921618301,0.8492008162591845,0.8435243586579136
2019-01-25,0.912884092362719,0.856449149402452,0.8492223548777449
2019-01-28,0.8876029525121698,0.8441901438237349,0.8378076365608411
2019-01-29,0.8728176845274415,0.8352274750714316,0.8324805596252742
2019-01-30,0.9089702685705044,0.8497182629376565,0.8425457697957316
2019-01-31,0.9214298590247882,0.8571319913534561,0.8450178646363709
2019-02-01,0.9183513190849575,0.8581142706370994,0.8534152585716872
2019-02-04,0.9367794474576189,0.8662319123811311,0.8612720364266239
2019-02-05,0.9475661590693961,0.8745148256566669,0.8681493764320042
2019-02-06,0.9439372007708856,0.8717050080207257,0.867460124318366
2019-02-07,0.9278256294385145,0.8637067646919253,0.8597017714622133
