,value
person_label,Nancy Pelosi
as_of_date,2024-12-31
n_assets,22
universe,"AAPL,AMZN,AXP,CLNE,CMCSA,CRM,CRWD,DBX,DIS,GOOGL,IBKR,MORN,MSFT,NFLX,NVDA,PANW,PYPL,QCOM,RBLX,T,V,WBD"
