date,ticker,close
2018-01-02,AAPL,40.30416488647461
2018-01-02,AMZN,59.45050048828125
2018-01-02,AXP,88.57154846191406
2018-01-02,BAC,24.77677345275879
2018-01-02,BND,64.13093566894531
2018-01-02,CB,123.97183227539062
2018-01-02,CLNE,2.140000104904175
2018-01-02,CMCSA,31.178993225097656
2018-01-02,CRM,103.1566162109375
2018-01-02,CVX,89.45238494873047
2018-01-02,DGRO,28.866626739501953
2018-01-02,DIS,106.22452545166016
2018-01-02,DVA,72.54000091552734
2018-01-02,EMB,78.98004913330078
2018-01-02,GOOGL,53.258094787597656
2018-01-02,IBKR,14.158588409423828
2018-01-02,KHC,52.5542106628418
2018-01-02,KO,35.49272918701172
2018-01-02,LQD,90.72731018066406
2018-01-02,MA,145.0581817626953
2018-01-02,MCO,136.1251983642578
2018-01-02,MORN,91.45243835449219
2018-01-02,MSFT,78.87036895751953
2018-01-02,MUB,90.46324157714844
2018-01-02,NFLX,20.10700035095215
2018-01-02,NVDA,4.928531646728516
2018-01-02,OXY,60.578102111816406
2018-01-02,PANW,24.758333206176758
2018-01-02,PYPL,73.66969299316406
2018-01-02,QCOM,52.95182800292969
2018-01-02,SCHD,13.001945495605469
2018-01-02,SPY,237.2082061767578
2018-01-02,T,16.08772850036621
2018-01-02,UNG,96.16000366210938
2018-01-02,V,108.11192321777344
2018-01-02,VDE,75.1219711303711
2018-01-02,VGIT,52.0225944519043
2018-01-02,VIG,88.16876983642578
2018-01-02,VNQ,60.81418991088867
2018-01-02,VPL,57.77088165283203
2018-01-02,WBD,23.110000610351562
2018-01-02,XLE,25.915489196777344
2018-01-03,AAPL,40.297149658203125
2018-01-03,AMZN,60.209999084472656
2018-01-03,AXP,89.11764526367188
2018-01-03,BAC,24.69390869140625
2018-01-03,BND,64.18612670898438
2018-01-03,CB,124.94761657714844
2018-01-03,CLNE,2.109999895095825
2018-01-03,CMCSA,30.677936553955078
2018-01-03,CRM,104.02603912353516
2018-01-03,CVX,90.10443878173828
2018-01-03,DGRO,28.998960494995117
2018-01-03,DIS,106.68059539794922
2018-01-03,DVA,72.91000366210938
2018-01-03,EMB,78.94609069824219
2018-01-03,GOOGL,54.16672897338867
2018-01-03,IBKR,14.063467025756836
2018-01-03,KHC,52.54738235473633
2018-01-03,KO,35.414794921875
2018-01-03,LQD,90.89263153076172
2018-01-03,MA,146.8820343017578
2018-01-03,MCO,138.66824340820312
2018-01-03,MORN,90.0090560913086
2018-01-03,MSFT,79.23741149902344
2018-01-03,MUB,90.5695571899414
2018-01-03,NFLX,20.5049991607666
2018-01-03,NVDA,5.252899646759033
2018-01-03,OXY,61.41331100463867
2018-01-03,PANW,24.946666717529297
2018-01-03,PYPL,76.57298278808594
